flightId,flightNo,departureAirport,departureTime,arrivalAirport,arrivalTime,flyDur,historicalFlyDur,aircraftNo,aircraftType,isInternational,fixedSucessor
1,ZH9361,NNG,2017-11-01 07:40:00,CKG,2017-11-01 09:45:00,01:42:00,01:42:00,B5378,738,FALSE,NULL
2,ZH9361,CKG,2017-11-01 10:45:00,CTU,2017-11-01 11:30:00,00:45:00,00:45:00,B5378,738,FALSE,NULL
4,ZH9709,WUH,2017-11-01 13:20:00,NNG,2017-11-01 15:20:00,02:22:00,02:22:00,B5617,738,FALSE,NULL
5,ZH9709,SHE,2017-11-01 09:10:00,WUH,2017-11-01 12:15:00,03:18:00,03:18:00,B5617,738,FALSE,NULL
6,ZH9710,NNG,2017-11-01 16:10:00,WUH,2017-11-01 18:05:00,01:55:00,01:55:00,B5617,738,FALSE,NULL
14,ZH9723,WNZ,2017-11-01 14:05:00,SYX,2017-11-01 17:00:00,02:55:00,02:55:00,B1519,738,FALSE,NULL
15,ZH9723,SHE,2017-11-01 10:05:00,WNZ,2017-11-01 13:10:00,03:05:00,03:05:00,B1519,738,FALSE,NULL
16,ZH9724,SYX,2017-11-01 17:55:00,WNZ,2017-11-01 20:20:00,02:25:00,02:25:00,B1519,738,FALSE,NULL
17,ZH9724,WNZ,2017-11-01 21:10:00,SHE,2017-11-01 23:50:00,02:40:00,02:40:00,B1519,738,FALSE,NULL
20,ZH9225,XIY,2017-11-01 12:50:00,INC,2017-11-01 14:10:00,01:19:00,01:19:00,B5317,738,FALSE,NULL
21,ZH9226,INC,2017-11-01 15:00:00,XIY,2017-11-01 16:25:00,01:18:00,01:18:00,B5317,738,FALSE,NULL
22,ZH9226,XIY,2017-11-01 17:30:00,CAN,2017-11-01 20:15:00,02:45:00,02:45:00,B5317,738,FALSE,NULL
25,ZH9239,SZX,2017-11-01 15:40:00,ZGC,2017-11-01 19:10:00,03:30:00,03:30:00,B5363,738,FALSE,NULL
26,ZH9239,ZGC,2017-11-01 20:00:00,URC,2017-11-01 22:50:00,02:50:00,02:50:00,B5363,738,FALSE,NULL
27,ZH9240,ZGC,2017-11-01 13:50:00,SZX,2017-11-01 17:00:00,03:10:00,03:10:00,B5381,738,FALSE,NULL
28,ZH9240,URC,2017-11-01 10:10:00,ZGC,2017-11-01 12:50:00,02:40:00,02:40:00,B5381,738,FALSE,NULL
29,ZH9241,NTG,2017-11-01 19:05:00,NNG,2017-11-01 21:55:00,02:50:00,02:50:00,B5357,738,FALSE,NULL
43,ZH9509,SZX,2017-11-01 12:50:00,KHN,2017-11-01 14:30:00,01:34:00,01:34:00,B5772,738,FALSE,NULL
44,ZH9509,KHN,2017-11-01 15:20:00,PVG,2017-11-01 17:00:00,01:34:00,01:34:00,B5772,738,FALSE,NULL
45,ZH9510,KHN,2017-11-01 20:45:00,SZX,2017-11-01 22:35:00,01:48:00,01:48:00,B5772,738,FALSE,NULL
46,ZH9510,PVG,2017-11-01 18:05:00,KHN,2017-11-01 20:00:00,01:44:00,01:44:00,B5772,738,FALSE,NULL
57,ZH9997,CAN,2017-11-01 18:55:00,JDZ,2017-11-01 20:45:00,01:50:00,01:50:00,B5616,738,FALSE,NULL
58,ZH9998,JDZ,2017-11-01 22:20:00,CAN,2017-11-02 00:20:00,02:00:00,02:00:00,B5616,738,FALSE,NULL
59,ZH9427,SZX,2017-11-01 16:40:00,CKG,2017-11-01 19:10:00,02:26:00,02:26:00,B5607,738,FALSE,NULL
60,ZH9428,CKG,2017-11-01 08:50:00,SZX,2017-11-01 10:55:00,02:07:00,02:07:00,B1710,738,FALSE,NULL
61,ZH9429,SZX,2017-11-01 17:25:00,CKG,2017-11-01 19:40:00,02:26:00,02:26:00,B1476,738,FALSE,NULL
62,ZH9430,CKG,2017-11-01 21:10:00,SZX,2017-11-01 23:20:00,02:07:00,02:07:00,B5607,738,FALSE,NULL
63,ZH9431,SZX,2017-11-01 20:25:00,CKG,2017-11-01 22:45:00,02:26:00,02:26:00,B5608,738,FALSE,NULL
64,ZH9432,CKG,2017-11-01 07:45:00,SZX,2017-11-01 09:45:00,02:07:00,02:07:00,B5859,738,FALSE,NULL
74,ZH9971,CAN,2017-11-01 08:25:00,TNA,2017-11-01 11:05:00,02:53:00,02:53:00,B5616,738,FALSE,NULL
75,ZH9972,TNA,2017-11-01 12:00:00,CAN,2017-11-01 14:45:00,03:03:00,03:03:00,B5616,738,FALSE,NULL
76,ZH9975,CAN,2017-11-01 15:20:00,TNA,2017-11-01 18:10:00,02:53:00,02:53:00,B1518,738,FALSE,NULL
77,ZH9976,TNA,2017-11-01 19:10:00,CAN,2017-11-01 22:05:00,03:03:00,03:03:00,B1518,738,FALSE,NULL
84,ZH9989,CAN,2017-11-01 21:00:00,HFE,2017-11-01 23:05:00,02:09:00,02:09:00,B1713,738,FALSE,NULL
85,ZH9990,HFE,2017-11-01 06:40:00,CAN,2017-11-01 08:55:00,02:26:00,02:26:00,B1973,738,FALSE,NULL
86,ZH9991,CAN,2017-11-01 07:55:00,KHN,2017-11-01 09:30:00,01:32:00,01:32:00,B5670,738,FALSE,NULL
87,ZH9991,KHN,2017-11-01 10:30:00,TAO,2017-11-01 12:30:00,02:00:00,02:00:00,B5670,738,FALSE,NULL
88,ZH9992,KHN,2017-11-01 17:30:00,CAN,2017-11-01 19:10:00,01:43:00,01:43:00,B5670,738,FALSE,NULL
89,ZH9992,TAO,2017-11-01 14:00:00,KHN,2017-11-01 16:10:00,02:10:00,02:10:00,B5670,738,FALSE,NULL
97,ZH9459,CAN,2017-11-01 21:10:00,CKG,2017-11-01 23:30:00,02:20:00,02:20:00,B5613,738,FALSE,NULL
98,ZH9460,CKG,2017-11-01 08:00:00,CAN,2017-11-01 10:00:00,02:00:00,02:00:00,B1939,738,FALSE,NULL
99,ZH9461,CKG,2017-11-01 07:30:00,NKG,2017-11-01 09:30:00,02:01:00,02:01:00,B5402,738,FALSE,NULL
100,ZH9462,NKG,2017-11-01 10:55:00,CKG,2017-11-01 13:30:00,02:34:00,02:34:00,B5402,738,FALSE,NULL
101,ZH9463,CKG,2017-11-01 14:35:00,NKG,2017-11-01 17:00:00,02:01:00,02:01:00,B5402,738,FALSE,NULL
102,ZH9464,NKG,2017-11-01 18:10:00,CKG,2017-11-01 20:35:00,02:34:00,02:34:00,B5402,738,FALSE,NULL
106,ZH9966,NTG,2017-11-01 10:30:00,CAN,2017-11-01 13:15:00,02:42:00,02:42:00,B5400,738,FALSE,NULL
111,ZH9279,XIY,2017-11-01 19:15:00,NNG,2017-11-01 21:45:00,02:30:00,02:30:00,B5378,738,FALSE,NULL
112,ZH9280,NNG,2017-11-01 15:30:00,XIY,2017-11-01 18:00:00,02:30:00,02:30:00,B5378,738,FALSE,NULL
127,ZH9301,SZX,2017-11-01 08:45:00,CGO,2017-11-01 11:25:00,02:26:00,02:26:00,B5413,738,FALSE,NULL
128,ZH9302,CGO,2017-11-01 12:25:00,SZX,2017-11-01 14:50:00,02:35:00,02:35:00,B5413,738,FALSE,NULL
131,ZH9305,SZX,2017-11-01 20:05:00,CGO,2017-11-01 22:35:00,02:26:00,02:26:00,B5775,738,FALSE,NULL
132,ZH9306,CGO,2017-11-01 09:20:00,SZX,2017-11-01 11:50:00,02:35:00,02:35:00,B5772,738,FALSE,NULL
133,ZH9313,SZX,2017-11-01 20:55:00,HAK,2017-11-01 22:20:00,01:20:00,01:20:00,B5106,739,FALSE,NULL
134,ZH9830,WUX,2017-11-01 15:50:00,CAN,2017-11-01 18:20:00,02:43:00,02:43:00,B5613,738,FALSE,NULL
137,ZH9841,SZX,2017-11-01 07:40:00,NKG,2017-11-01 09:55:00,02:07:00,02:07:00,B1940,738,FALSE,NULL
138,ZH9842,NKG,2017-11-01 11:05:00,SZX,2017-11-01 13:35:00,02:35:00,02:35:00,B1940,738,FALSE,NULL
139,ZH9843,SZX,2017-11-01 08:55:00,NKG,2017-11-01 11:05:00,02:07:00,02:07:00,B5411,738,FALSE,NULL
140,ZH9844,NKG,2017-11-01 12:15:00,SZX,2017-11-01 14:40:00,02:35:00,02:35:00,B5363,738,FALSE,NULL
143,ZH9847,SZX,2017-11-01 12:40:00,NKG,2017-11-01 15:00:00,02:07:00,02:07:00,B5608,738,FALSE,NULL
144,ZH9848,NKG,2017-11-01 16:45:00,SZX,2017-11-01 19:15:00,02:35:00,02:35:00,B5608,738,FALSE,NULL
145,ZH9849,SZX,2017-11-01 17:15:00,NKG,2017-11-01 19:25:00,02:07:00,02:07:00,B5776,738,FALSE,NULL
146,ZH9850,NKG,2017-11-01 20:30:00,SZX,2017-11-01 23:00:00,02:35:00,02:35:00,B5400,738,FALSE,NULL
149,ZH9859,CAN,2017-11-01 07:15:00,NKG,2017-11-01 09:30:00,02:09:00,02:09:00,B1755,738,FALSE,NULL
150,ZH9860,NKG,2017-11-01 10:40:00,CAN,2017-11-01 13:05:00,02:31:00,02:31:00,B1755,738,FALSE,NULL
152,ZH9645,SZX,2017-11-01 17:50:00,KHN,2017-11-01 19:30:00,01:34:00,01:34:00,B7750,738,FALSE,NULL
153,ZH9645,KHN,2017-11-01 20:20:00,CGQ,2017-11-01 23:20:00,03:00:00,03:00:00,B7750,738,FALSE,NULL
154,ZH9646,KHN,2017-11-01 12:20:00,SZX,2017-11-01 14:20:00,01:48:00,01:48:00,B7750,738,FALSE,NULL
155,ZH9646,CGQ,2017-11-01 08:05:00,KHN,2017-11-01 11:30:00,03:25:00,03:25:00,B7750,738,FALSE,NULL
162,ZH9657,CAN,2017-11-01 18:25:00,SHE,2017-11-01 22:10:00,03:45:00,03:45:00,B5612,738,FALSE,NULL
163,ZH9658,SHE,2017-11-01 08:45:00,CAN,2017-11-01 12:55:00,04:10:00,04:10:00,B1518,738,FALSE,NULL
166,ZH9672,CZX,2017-11-01 21:10:00,CAN,2017-11-01 23:30:00,02:20:00,02:20:00,B1939,738,FALSE,NULL
167,ZH9672,HRB,2017-11-01 17:25:00,CZX,2017-11-01 20:25:00,03:00:00,03:00:00,B1939,738,FALSE,NULL
168,ZH9673,CAN,2017-11-01 11:55:00,HRB,2017-11-01 16:30:00,04:35:00,04:35:00,B1939,738,FALSE,NULL
170,ZH9861,CAN,2017-11-01 08:45:00,NKG,2017-11-01 10:55:00,02:09:00,02:09:00,B5363,738,FALSE,NULL
171,ZH9862,NKG,2017-11-01 12:20:00,CAN,2017-11-01 14:35:00,02:31:00,02:31:00,B5411,738,FALSE,NULL
172,ZH9863,CAN,2017-11-01 10:45:00,NKG,2017-11-01 13:05:00,02:09:00,02:09:00,B1973,738,FALSE,NULL
173,ZH9864,NKG,2017-11-01 14:20:00,CAN,2017-11-01 16:40:00,02:31:00,02:31:00,B1973,738,FALSE,NULL
176,ZH9867,CAN,2017-11-01 16:45:00,NKG,2017-11-01 19:15:00,02:09:00,02:09:00,B5400,738,FALSE,NULL
181,ZH9529,WUX,2017-11-01 16:40:00,ZUH,2017-11-01 19:15:00,02:35:00,02:35:00,B5771,738,FALSE,NULL
